input1,input1.1,input1.2,input1.3,input1.4,output1_delay4sec,output2_delay4sec,output3_delay4sec,output4_delay4sec,output5_delay4sec,output6_delay4sec,output7_delay4sec
37.7783,13.15957,700.125,1.006965,-13.4341,2508.7,14.728,15.878,249.89,176.41,667.88,555.23
38.20789,13.69137,700.125,1.00594,-13.62406,2059.6,14.721,16.247,201.07,178.38,674.18,559.85
38.59321,13.76672,700.125,1.001335,-13.81668,1854.8,14.711,16.456,175.02,182.09,678.59,563.08
38.96774,13.94187,700.125,1.002455,-14.01456,1914.1,14.721,16.795,171.08,178.94,683.73,567.42
39.40398,14.05001,700.125,1.00024,-14.21265,2309.1,14.738,16.875,196.53,176.61,686.41,570.0
39.71044,14.32562,700.125,1.001645,-14.39638,2185.0,14.739,17.146,179.28,177.28,691.37,573.9
40.19818,14.37083,700.125,1.004935,-14.59065,2390.0,14.745,17.327,188.09,175.95,695.17,577.18
40.48619,14.50605,700.125,1.002715,-14.7935,2233.5,14.746,17.596,170.01,176.32,700.12,581.07
41.18647,14.78008,700.125,1.007125,-14.9843,1925.1,14.74,17.971,141.11,178.44,705.61,585.24
41.49906,14.80022,700.125,1.005675,-15.18511,2103.1,14.749,18.061,149.81,177.98,709.31,588.38
41.88618,14.94164,700.125,1.003955,-15.36726,1733.5,14.735,18.66,115.42,177.89,716.13,593.7
42.26375,15.20138,700.125,0.998495,-15.56673,1825.4,14.745,18.747,119.44,178.49,719.81,596.75
42.69457,14.95005,700.125,1.005575,-15.76274,1950.7,14.754,18.888,124.81,177.4,723.56,599.97
42.98772,15.46543,700.125,1.005325,-15.95935,2466.3,14.762,18.869,154.38,173.89,726.73,603.07
43.35124,15.44575,700.125,1.003035,-16.14833,1795.2,14.752,19.295,107.33,180.43,732.57,607.11
43.73653,15.83019,700.125,1.007075,-16.34718,1798.4,14.756,19.495,102.96,178.78,737.89,611.5
44.30739,15.85159,700.125,1.004105,-16.53802,1975.6,14.766,19.51,112.1,178.95,741.15,614.33
44.58241,16.25942,700.125,1.00652,-16.73686,1646.4,14.752,19.901,85.678,180.03,747.69,619.35
45.01306,16.30846,700.125,0.999275,-16.92768,1855.2,14.768,19.959,96.516,178.36,751.32,622.67
45.38807,16.14297,700.125,1.001985,-17.12651,1657.2,14.76,20.209,79.882,179.26,757.2,627.26
45.80449,16.6345,700.125,1.001145,-17.31733,2277.2,14.779,19.958,113.48,176.52,759.33,629.68
46.14644,16.66535,700.125,1.00765,-17.51617,1999.9,14.78,20.173,95.63,180.49,763.98,633.17
