in1,in2,in3,in4,in5,in6,in7,in8,out1,out2,out3,out4,out5,out6,out7,out8,,,,,,,,
18.295,-14.341,42.514,48.724,257.75,86.405,0.45716,10.268,2.27E+05,612.91,669.47,317.18,306.87,14.131,4430.5,21.171,,,,,,,,
18.221,-14.623,41.306,5.29,257.3,86.825,0.45735,10.279,2.42E+05,614.9,672.13,327.28,297.24,14.13,4301,21.502,,,,,,,,
18.157,-14.625,3.955,54.195,256.93,87.078,0.45686,10.278,2.43E+05,614.43,671.81,328.26,301.61,14.129,4310.3,21.52,,,,,,,,
18.096,-14.944,25.793,53.719,256.55,87.131,0.45336,10.307,2.75E+05,617.89,676.86,332.5,275.98,14.114,4050.9,22.469,,,,,,,,
18.042,-15.001,43.624,56.389,255.9,87.533,0.45758,10.342,2.66E+05,616.51,674.73,347.63,278.85,14.089,3779.4,22.563,,,,,,,,
17.979,-15.09,39.868,59.053,255.52,87.763,0.44546,10.273,2.85E+05,617.71,677.52,338.17,287.84,14.138,4309.1,22.349,,,,,,,,
17.906,-15.373,38.869,60.154,255.11,87.755,0.44513,10.266,3.07E+05,620.64,680.78,344.47,279.35,14.149,4318.2,22.584,,,,,,,,
17.991,-15.144,39.417,59.819,255.61,87.443,0.44852,10.298,2.89E+05,618.11,678.35,342.78,275.95,14.123,4100.3,22.678,,,,,,,,
18.125,-14.745,39.892,54.873,256.61,86.869,0.45215,10.248,2.57E+05,616.08,674.12,326.09,301.45,14.15,4532.4,21.557,,,,,,,,
18.257,-14.392,29.385,49.592,257.41,86.468,0.45002,10.259,2.44E+05,613.79,672.13,311.22,300.56,14.135,4511.5,21.537,,,,,,,,
18.373,-14.248,43.734,4.684,258.44,85.894,0.45768,10.307,2.25E+05,612.55,669.31,316.35,292.05,14.102,4148.6,21.563,,,,,,,,
18.506,-13.891,42.803,42.603,259.48,85.558,0.45767,10.273,2.05E+05,610.12,666.19,302.45,308.87,14.12,4461.8,20.813,,,,,,,,
