in1,in2,in3,in4,out1,out2,,,
-27.198,37.026,3000,601.95,2615,1980.8,,,
-26.982,36.69,3000,605.15,2632.9,1979.7,,,
-25.709,36.859,3000,604.11,2669.2,1985.5,,,
-25.413,36.422,3000,598.65,2667.7,1986.8,,,
-24.272,35.979,3000,598.15,2692,1986.1,,,
-23.777,36.023,3000,602.18,2705.5,1984.5,,,
-23.2,35.221,3000,603.35,2713.7,1981,,,
-22.912,35.048,3000,601.02,2710,1980,,,
-22.281,34.564,3000,602.82,2713,1975.6,,,
-22.207,33.928,3000,602.59,2714.1,1974,,,
-22.204,33.899,3000,597.99,2705.6,1974.5,,,
-21.2,33.963,3000,598.44,2698.8,1967.2,,,
-21.105,33.649,3000,603.61,2708.8,1965.5,,,
-19.891,33.522,3000,599.66,2689.7,1953.6,,,
-19.148,33.071,3000,602.25,2689,1944.4,,,
-18.643,32.912,3000,601.87,2683.8,1938.6,,,
-18.199,32.718,3000,599.14,2674.3,1934,,,
-17.733,32.611,3000,598.39,2668.4,1929.4,,,
-17.346,32.129,3000,599.6,2669.2,1924.1,,,
-16.574,31.962,3000,603.59,2671.1,1915.7,,,
-16.668,31.314,3000,598.77,2664.3,1916.3,,,
-15.158,31.179,3000,601.33,2655.9,1905.2,,,
-14.867,30.826,3000,601.16,2654.4,1902.6,,,
-13.86,30.774,3000,602.69,2648.3,1897.9,,,
-13.487,30.503,3000,596.96,2633.1,1900.3,,,
-12.961,30.342,3000,603.22,2642.9,1893.8,,,
-12.639,30.418,3000,599.44,2630.9,1896.9,,,
-12.082,30.138,3000,598.16,2624,1896.2,,,
-12.265,29.29,3000.1,598.84,2631.3,1891.6,,,
-10.854,29.521,3000,602.52,2624.9,1889.2,,,
-10.781,28.879,3000,599.77,2621.1,1888.4,,,
-10.44,28.839,3000,601.42,2621.8,1886.9,,,
-10.104,28.867,3000,600.98,2617.4,1887.5,,,
-92.656,28.152,3000,600.28,2611.3,1885,,,
-84.664,27.747,3000,601.18,2607.7,1882.8,,,
-77.333,27.88,3000,597.32,2591.8,1887.8,,,
-70.191,27.11,3000,602.83,2601.2,1879.4,,,
-6.578,26.748,3000,601.74,2596.6,1879,,,
-66.226,26.302,3000,600.76,2597,1877.6,,,
-56.499,26.928,3000,601.95,2588.3,1880.8,,,
-54.792,26.029,3000,596.16,2578.7,1881.8,,,
-53.022,25.929,3000,601.99,2590.3,1876,,,
-46.768,25.849,3000,601.88,2585.6,1876.4,,,
-37.904,25.326,3000,596.18,2569.8,1880.1,,,
-29.682,25.243,3000,601.82,2576.8,1875.4,,,
-24.818,25.004,3000,599.41,2570.1,1877,,,
-13.111,25.253,3000,600.01,2564.3,1879,,,
-12.661,24.913,3000,602.13,2569.8,1875.4,,,
-12.388,25.292,3000,597.41,2558.6,1881.8,,,
-0.85549,24.255,3000,603.31,2572.6,1871.4,,,
0.016563,24.156,3000,595.79,2552.9,1878.9,,,
0.61927,24.109,3000,602,2561,1873.6,,,
10.747,23.205,3000,602.29,2558.2,1869.3,,,
24.479,23.09,3000,596.97,2530,1875.2,,,
26.012,22.629,3000,602.09,2536.9,1868.3,,,
30.659,22.677,2999.9,599.37,2523.9,1871.6,,,
37.401,22.975,3000.1,598.02,2511,1875,,,
33.772,22.256,3000,600.98,2520.2,1868.4,,,
34.681,22.548,3000,602.54,2523.2,1868.5,,,
30.651,22.998,3000,598.41,2523.2,1874.1,,,
27.396,22.68,3000,597.32,2525,1873.1,,,
28.868,23.256,3000,603.36,2537.2,1870.6,,,
1.99,22.922,3000,594.86,2531.7,1875.8,,,
0.71026,24.415,3000,602.18,2560.2,1875.1,,,
0.097411,23.804,3000,601.86,2565.1,1871.6,,,
-0.42454,24.002,3000,596.45,2557.3,1877.1,,,
-0.51027,24.055,3000,602.34,2569.4,1871.7,,,
-11.461,25.038,3000,601.03,2566.4,1877.2,,,
-12.978,25.383,3000,597.51,2558.7,1882,,,
-2.45,25.542,3000,600.82,2570.3,1878.5,,,
-24.899,25.943,3000,599.33,2565.5,1881.8,,,
-38.702,25.891,3000,601,2577.7,1878.4,,,
-42.536,26.124,2999.9,599.79,2576.7,1880.3,,,
-45.339,26.488,3000,598.63,2574.6,1882.9,,,
-48.461,26.179,3000,600.44,2582.2,1879.3,,,
-54.868,27.05,3000,599.46,2581,1883.9,,,
-61.619,27.2,3000,601.18,2589.6,1882.3,,,
-71.327,27.473,3000,598.39,2590.7,1885.3,,,
-72.451,28.143,3000,598.69,2589.2,1888.3,,,
-80.379,28.157,3000,599.28,2597.6,1887.1,,,
-77.744,28.379,3000,598.47,2592.4,1889.2,,,
-85.439,28.721,3000,599.55,2600.3,1889.2,,,
-96.289,28.874,3000,600.35,2611.5,1888.4,,,
