Filename,Input,Output,CrossCorr2,PolyRegre2,LinRegre2,ARXM2,LSTM2
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out2_2sec_shift,[ -44846.30971132   43925.81697712 4880496.71308309  976070.28734592],[ 766.69991033  798.41020238 3001.41640304  704.48189509],[-4518.40646747 -2032.74228766  2803.52327394  2905.61978103],[0.61331526 1.1035378  1.00039776 1.14133062],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out2_2sec_shift_noise,[ -44845.24662299   43924.7757092  4880381.02019483  976047.14945703],[ 766.04334585  798.31926635 3001.42076819  704.22400359],[-4519.31588428 -2033.15970405  2809.75154286  2901.05187959],[0.75493624 1.07136855 1.00039598 1.14401875],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out2_2sec_shift_filt,[ -44846.14702056   43925.65762566 4880479.00790837  976066.74641638],[ 767.38126103  799.69809156 3001.4168328   699.73827346],[-4515.51066861 -2033.15847109  2873.13219177  2650.09667559],[17.36418456  0.89398377  1.00123582  0.85154879],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out2_2sec_shift_noise_filt,[ -44845.81621172   43925.33360684 4880443.00692059  976059.54643315],[ 768.25279361  799.86492805 3001.42282373  699.61916029],[-4509.35700593 -2033.38726902  2872.45081486  2641.00942967],[-0.16614164  0.95701607  1.00131209  0.84698839],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out2_4sec_shift,[ -44847.30929166   43926.79604057 4880605.49457666  976092.04299702],[ 778.24710591  815.62055875 3001.40497756  702.34595088],[-4594.51298164 -2040.91744706  2860.81486181  1800.59798594],[1.26274511 0.57255947 1.06072601 1.4550791 ],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out2_4sec_shift_noise,[ -44846.96404875   43926.45788394 4880567.92276969  976084.52885931],[ 778.98169397  816.03229097 3001.41306101  701.92345967],[-4599.32717567 -2039.85494575  2845.74728693  1803.16790676],[1.51242882 0.60631982 1.01333776 1.59976433],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out2_4sec_shift_filt,[ -44847.25461169   43926.74248294 4880599.54391056  976090.85289923],[ 779.55322538  817.27489866 3001.38893803  705.27238966],[-4598.80543887 -2046.86241818  2873.55188867  1866.94337554],[-0.30753709  1.15491713  0.99809698  1.26809439],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out2_4sec_shift_noise_filt,[ -44847.11140514   43926.60221577 4880583.95914739  976087.73603938],[ 780.76512293  817.73108461 3001.3943874   705.42064527],[-4601.51105576 -2045.58199514  2867.18999161  1867.54021949],[-0.02597254  1.11620388  0.99810576  1.27291651],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out2_6sec_shift,[ -44847.95315927   43927.42669248 4880675.56486285  976106.05663711],[ 799.47030161  841.39852643 3001.38127951  710.67772571],[-4743.9070794  -2081.62977868  2831.7537428   1593.73427978],[  4.7205947  -41.54431615   1.0006738    0.65567884],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out2_6sec_shift_noise,[ -44848.08674053   43927.55753192 4880690.10213217  976108.96400443],[ 801.95971771  841.29527602 3001.3840011   710.07416698],[-4758.5617204  -2082.22429315  2842.4571374   1591.10414974],[-53.4026394  -87.29974821   1.00077248   0.69225441],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out2_6sec_shift_filt,[ -44847.9217795    43927.39595679 4880672.14989074  976105.37366302],[ 800.89192162  840.51002974 3001.3714442   711.59621769],[-4749.58102752 -2082.73786444  2873.83935486  1580.12582281],[-1.20781076  0.94338417  1.00167753  0.59806437],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out2_6sec_shift_noise_filt,[ -44848.65230048   43928.11148347 4880751.65041814  976121.2732952 ],[ 801.89479716  840.68343052 3001.36160788  711.87314934],[-4772.43724304 -2077.58912862  2875.95984661  1582.09619923],[-0.47063442  0.94376803  1.00183996  0.56881203],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out2_8sec_shift,[ -44848.58599703   43928.04654093 4880744.43480154  976119.83021484],[ 830.93727615  870.3849479  3001.31321832  702.83043228],[-4975.53728135 -2140.08903723  2911.41578839  1426.82742932],[4.93677242 2.51721225 0.99816769 0.3541971 ],0
