in1,in2,in3,in4,in5,in6,out1,out2,out3,out4,out5,out6,out7,out8,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
31.226,269.17,2300.1,0.57508,17.274,0.98386,11577.0,13.771,85.176,200.8,3170000.0,721.87,625.56,994.99,,,,,,,,,
30.061,275.73,2300.0,0.35747,17.922,0.98466,11487.0,13.758,85.288,225.25,3180000.0,719.35,625.74,1046.8,,,,,,,,,
28.962,283.14,2300.0,0.14329,18.574,0.98601,11303.0,13.751,85.561,252.08,3170000.0,717.42,626.57,1094.4,,,,,,,,,
27.424,289.46,2300.0,-0.08041,19.25,0.98835,11022.0,13.737,85.148,282.69,3150000.0,713.11,625.59,1167.3,,,,,,,,,
25.975,296.59,2300.0,-0.31212,19.941,0.99004,10832.0,13.723,84.991,314.76,3140000.0,709.36,625.01,1230.2,,,,,,,,,
24.486,306.08,2300.1,-0.53887,20.621,0.99049,10810.0,13.707,85.268,352.95,3180000.0,705.84,624.87,1286.1,,,,,,,,,
22.982,313.66,2300.1,-0.75724,21.274,0.99246,10585.0,13.694,85.121,392.9,3160000.0,701.5,623.84,1330.3,,,,,,,,,
21.777,318.61,2300.0,-0.97561,21.926,0.99402,10415.0,13.682,84.818,429.06,3150000.0,697.62,622.49,1359.0,,,,,,,,,
20.698,324.19,2300.0,-11.989,22.594,0.99552,10241.0,13.673,84.748,468.95,3130000.0,694.33,621.69,1377.7,,,,,,,,,
19.339,330.98,2300.0,-14.215,23.264,0.99667,10124.0,13.659,84.672,519.2,3120000.0,689.75,619.89,1397.8,,,,,,,,,
18.041,337.94,2300.1,-16.448,23.935,0.99836,9930.0,13.647,84.667,572.96,3080000.0,685.32,618.08,1410.4,,,,,,,,,
16.829,343.68,2300.1,-18.529,24.556,10.008,9652.0,13.636,84.516,624.94,3000000.0,680.94,615.84,1417.8,,,,,,,,,
15.511,346.84,2300.0,-19.226,24.766,10.007,9719.3,13.618,84.002,663.53,3010000.0,675.06,611.15,1434.6,,,,,,,,,
15.275,345.63,2300.0,-18.426,24.529,0.99959,9871.1,13.612,83.676,659.74,3050000.0,673.48,609.34,1441.9,,,,,,,,,
16.006,341.93,2300.0,-17.348,24.204,0.99932,9895.7,13.619,83.665,629.2,3070000.0,676.28,611.05,1435.6,,,,,,,,,
16.605,338.63,2300.0,-16.246,23.875,0.99816,10035.0,13.624,8.365,601.31,3110000.0,678.36,612.04,1433.1,,,,,,,,,
17.306,336.19,2300.0,-15.133,23.543,0.99758,10090.0,13.631,83.836,574.76,3120000.0,681.13,613.74,1426.2,,,,,,,,,
17.906,332.48,2300.0,-14.032,23.211,0.99794,10038.0,13.638,83.706,548.92,3100000.0,683.2,614.63,1419.0,,,,,,,,,
18.701,329.04,2300.0,-12.931,22.878,0.99741,10085.0,13.647,83.811,519.6,3110000.0,686.12,616.17,1409.9,,,,,,,,,
19.454,326.75,2300.0,-11.818,22.545,0.99583,10267.0,13.654,8.412,493.58,3140000.0,688.93,617.67,1402.0,,,,,,,,,
19.853,323.5,2300.0,-10.705,22.211,0.99519,10353.0,13.656,83.947,473.04,3160000.0,689.87,617.46,1398.7,,,,,,,,,
20.537,320.47,2300.0,-0.96189,21.885,0.99501,10356.0,13.664,84.027,450.01,3150000.0,692.22,618.5,1387.0,,,,,,,,,
21.231,317.34,2300.0,-0.85061,21.557,0.99456,10393.0,13.672,84.115,427.51,3140000.0,694.51,619.42,1374.2,,,,,,,,,
22.139,313.6,2300.0,-0.73933,21.221,0.99342,10516.0,13.681,84.322,402.02,3150000.0,697.53,620.69,1355.6,,,,,,,,,
22.861,311.31,2300.0,-0.62957,20.887,0.99199,10683.0,13.687,84.635,383.24,3180000.0,699.98,621.73,1338.7,,,,,,,,,
23.349,307.5,2300.0,-0.51753,20.551,0.99178,10706.0,13.691,84.427,365.78,3170000.0,700.95,621.41,1326.6,,,,,,,,,
24.014,303.82,2300.0,-0.40358,20.209,0.99093,10806.0,13.697,84.428,347.46,3180000.0,702.68,621.63,1307.9,,,,,,,,,
24.683,299.77,2299.9,-0.2904,19.869,0.99049,10851.0,13.703,84.349,329.75,3170000.0,704.28,621.73,1286.4,,,,,,,,,
25.623,295.24,2300.0,-0.17835,19.537,0.99038,10826.0,13.715,84.416,310.24,3140000.0,706.98,622.64,1249.5,,,,,,,,,
26.39,292.49,2300.0,-0.06784,19.205,0.98941,10930.0,13.723,84.683,295.38,3140000.0,709.32,623.47,1217.4,,,,,,,,,
26.802,288.33,2300.0,0.04383,18.87,0.98877,11027.0,13.724,84.353,281.46,3150000.0,709.54,622.46,1203.6,,,,,,,,,
27.772,283.48,2299.9,0.15396,18.538,0.98802,11100.0,13.734,84.414,262.6,3150000.0,712.09,623.05,1159.5,,,,,,,,,
28.793,279.82,2300.0,0.26143,18.213,0.98747,11129.0,13.748,84.717,245.39,3130000.0,715.26,624.31,1107.9,,,,,,,,,
